iter	Passed	Remaining
458	799	942
459	801	940
460	803	939
461	804	937
462	806	934
463	807	932
464	808	930
465	810	928
466	811	925
467	812	923
468	813	920
469	814	918
470	815	915
471	816	913
472	818	911
473	819	909
474	820	906
475	821	904
476	822	901
477	823	899
478	824	896
479	825	894
480	826	892
481	827	889
482	828	887
483	829	884
484	831	882
485	832	880
486	833	878
487	834	875
488	835	873
489	836	871
490	837	868
491	838	866
492	839	863
493	840	861
494	841	858
495	842	856
496	843	853
497	844	851
498	845	849
499	847	847
500	848	844
501	849	842
502	850	840
503	851	838
504	852	835
505	853	833
506	854	831
507	855	828
508	856	826
509	857	823
510	858	821
511	859	819
512	861	817
513	864	817
514	865	815
515	866	813
516	868	811
517	869	809
518	870	806
519	872	805
520	873	803
521	875	802
522	877	800
523	879	798
524	880	796
525	881	794
526	882	792
527	883	790
528	885	788
529	886	785
530	887	783
531	889	782
532	890	780
533	892	778
534	893	776
535	895	774
536	896	772
537	897	770
538	899	768
539	900	766
540	901	764
541	902	762
542	904	761
543	905	759
544	906	756
545	907	754
546	908	752
547	909	750
548	911	748
549	912	746
550	913	744
551	914	741
552	915	739
553	916	737
554	917	735
555	918	733
556	920	731
557	921	729
558	922	727
559	923	725
560	924	723
561	925	721
562	926	719
563	927	717
564	928	715
565	930	713
566	931	711
567	932	709
568	934	707
569	935	705
570	936	703
571	937	701
572	939	699
573	940	697
574	941	695
575	942	693
576	943	691
577	944	689
578	945	687
579	947	686
580	948	684
581	949	682
582	951	680
583	952	678
584	953	676
585	954	674
586	955	672
587	956	670
588	958	668
589	959	666
590	961	665
591	962	663
592	964	661
593	965	659
594	966	657
595	967	655
596	969	654
597	970	652
598	971	650
599	972	648
600	973	646
601	976	645
602	977	643
603	978	641
604	979	639
605	980	637
606	981	635
607	983	633
608	984	631
609	985	629
610	986	627
611	987	626
612	988	624
613	990	622
614	991	620
615	992	618
616	993	616
617	994	614
618	996	613
619	997	611
620	998	609
621	999	607
622	1000	605
623	1002	603
624	1004	602
625	1005	601
626	1007	599
627	1008	597
628	1009	595
629	1010	593
630	1012	591
631	1013	589
632	1014	588
633	1015	586
634	1016	584
635	1017	582
636	1019	581
637	1020	579
638	1021	577
639	1023	575
640	1024	573
641	1025	571
642	1026	570
643	1028	568
644	1029	566
645	1030	564
646	1031	562
647	1033	561
648	1034	559
649	1036	557
650	1036	555
651	1038	554
652	1039	552
653	1040	550
654	1041	548
655	1042	546
656	1043	544
657	1044	542
658	1045	541
659	1047	539
660	1049	537
661	1050	536
662	1051	534
663	1052	532
664	1053	530
665	1054	528
666	1055	526
667	1056	525
668	1057	523
669	1058	521
670	1059	519
671	1060	517
672	1062	516
673	1063	514
674	1064	512
675	1066	510
676	1067	509
677	1068	507
678	1069	505
679	1070	503
680	1071	501
681	1072	500
682	1073	498
683	1074	496
684	1076	494
685	1077	493
686	1079	491
687	1080	490
688	1081	488
689	1083	486
690	1084	484
691	1085	483
692	1086	481
693	1087	479
694	1088	477
695	1090	476
696	1092	474
697	1093	473
698	1094	471
699	1095	469
700	1096	467
701	1097	466
702	1099	464
703	1100	462
704	1101	461
705	1103	459
706	1105	458
707	1107	456
708	1108	454
709	1109	453
710	1110	451
711	1111	449
712	1112	447
713	1113	445
714	1114	444
715	1115	442
716	1116	440
717	1117	438
718	1118	437
719	1120	435
720	1121	433
721	1122	432
722	1123	430
723	1124	428
724	1125	426
725	1126	425
726	1127	423
727	1128	421
728	1129	419
729	1130	418
730	1131	416
731	1132	414
732	1133	412
733	1135	411
734	1136	409
